System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
,,,Google DeepMind,Industry,"Alex Graves, Greg Wayne, Malcolm Reynolds, Tim Harley, Ivo Danihelka, Agnieszka Grabska-Barwińska, Sergio Gómez Colmenarejo, Edward Grefenstette, Tiago Ramalho, John Agapiou, Adrià Puigdomènech Badia, Karl Moritz Hermann, Yori Zwols, Georg Ostrovski, Adam Cain, Helen King, Christopher Summerfield, Phil Blunsom, Koray Kavukcuoglu & Demis Hassabis",12/10/2016,2016,Hybrid computing using a neural network with dynamic external memory,https://www.nature.com/articles/nature20101,1.24E+03,Highly cited,,,,,,,,,,,,,
NASv3 (CIFAR-10),Vision,,Google Brain,Industry,"Barret Zoph, Quoc V. Le",05/11/2016,2016,Neural Architecture Search with Reinforcement Learning,https://arxiv.org/abs/1611.01578,2.97E+03,Highly cited,,3.74E+07,2.2E+21,,,39,,,,,,,
ResNeXt-50,Vision,Image classification,"UC San Diego, Facebook",Industry - Academia Collaboration,"Saining Xie, Ross Girshick, Piotr Dollár, Zhuowen Tu, Kaiming He",16/11/2016,2016,Aggregated Residual Transformations for Deep Neural Networks,https://arxiv.org/abs/1611.05431,4.80E+03,Highly cited,,2.50E+07,,,,,8.40E+09,,,,,,
PolyNet,Vision,Image classification,The Chinese University of Hong Kong,Academia,"X Zhang, Z Li, C Change Loy",17/11/2016,2016,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,https://arxiv.org/abs/1611.05725,1.88E+02,,PwC,9.20E+07,,,,,,,,,,,
RefineNet,Vision,Object detection,"University of Adelaide, Australian Centre for Robotic Vision",Industry - Academia Collaboration,"Guosheng Lin, Anton Milan, Chunhua Shen, Ian Reid",20/11/2016,2016,RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,https://arxiv.org/abs/1611.06612v3,2.06E+03,Highly cited,,,,,,,,,,,,,
,,,UC Berkeley,Academia,"P Isola, JY Zhu, T Zhou",21/11/2016,2016,Image-to-Image Translation with Conditional Adversarial Networks,https://arxiv.org/abs/1611.07004,9.86E+03,Highly cited,,,,,,,,,,,,,
,,,DeepMind,Industry,"J Kirkpatrick, R Pascanu",02/12/2016,2016,Overcoming catastrophic forgetting in neural networks,https://arxiv.org/abs/1612.00796,2.16E+03,Highly cited,,,,,,,,,,,,,
PointNet,Other,3d segmentation,Stanford,Academia,"CR Qi, H Su, K Mo, LJ Guibas",02/12/2016,2016,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,https://arxiv.org/abs/1612.00593,5.04E+03,Highly cited,PwC,,,,,,,,,,,,
,Vision,Image classification,OpenAI,Industry,"Tim Salimans, Ian Goodfellow, Wojciech Zaremba, Vicki Cheung, Alec Radford, Xi Chen",05/12/2016,2016,Improved Techniques for Training GANs,https://dl.acm.org/doi/10.5555/3157096.3157346,6.06E+03,Highly cited,,,,,,,,,,,,,
,Vision,,"UT Austin, Google Inc, UC Berkeley",Industry - Academia Collaboration,"V Gulshan, L Peng, M Coram, MC Stumpe, D Wu",13/12/2016,2016,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,https://jamanetwork.com/journals/jama/article-abstract/2588763,3.54E+03,Highly cited,,,,,,,,,,,,,
YOLOv2,Vision,Object detection,"University of Washington, Allen Institute for AI",Industry - Academia Collaboration,"Joseph Redmon, Ali Farhadi",25/12/2016,2016,"YOLO9000: Better, Faster, Stronger",https://arxiv.org/abs/1612.08242,9.37E+03,Highly cited,PwC,5.10E+07,,,,,,,,,,,
,Vision,Image super-resolution,Twitter,Industry,"Christian Ledig, Lucas Theis, Ferenc Huszar, Jose Caballero, Andrew Cunningham, Alejandro Acosta, Andrew Aitken, Alykhan Tejani, Johannes Totz, Zehan Wang, Wenzhe Shi",2017,2017,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,https://openaccess.thecvf.com/content_cvpr_2017/html/Ledig_Photo-Realistic_Single_Image_CVPR_2017_paper.html,7.18E+03,Highly cited,PwC,,,,,,,,,,,,
Libratus,Games,Poker,Carnegie Mellon University,Academia,"N Brown, T Sandholm, S Machine",01/01/2017,2017,Libratus: The Superhuman AI for No-Limit Poker,https://www.cs.cmu.edu/~noamb/papers/17-IJCAI-Libratus.pdf,6.40E+01,SOTA improvement,,,1.1E+21,,,,,3000000,,,,,
AlphaGo Master,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",01/01/2017,2017,Mastering the game of Go without human knowledge,https://www.nature.com/articles/nature24270,5.81E+03,Highly cited,,,1.5E+23,,,,,,,,,,
DeepStack,Games,Poker,"University of Alberta, Charles University, Czech Technical University",Academia,,06/01/2017,2017,DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker,https://arxiv.org/abs/1701.01724,6.18E+02,,,2.50E+06,1.5E+14,,,,,,,,,,
MoE,Language,Language modelling / Machine translation,"Google Brain, Jagiellonian University, Cracow",Industry - Academia Collaboration (Industry leaning),"N Shazeer, A Mirhoseini, K Maziarz, A Davis",23/01/2017,2017,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,https://arxiv.org/abs/1701.06538,6.87E+02,,,8.70E+09,9.4E+19,,,,,,,,,,
,VIsion,Image super-resolution,"Harbin Institute of Technology, Hong Kong Polytechnic University, ULSee Inc., Xi’an Jiaotong University",Industry - Academia Collaboration (Academia leaning),"Kai Zhang, Wangmeng Zuo, Yunjin Chen, Deyu Meng, Lei Zhang",01/02/2017,2017,Beyond a Gaussian Denoiser: Residual Learning of Deep CNN for Image Denoising,https://ieeexplore.ieee.org/abstract/document/7839189,4.00E+03,Highly cited,PwC,,,,,,,,,,,,
,Vision,Image classification,"University of Toronto, Twitter",Industry - Academia Collaboration," Jake Snell, Kevin Swersky, Richard S. Zemel",15/03/2017,2017,Prototypical Networks for Few-shot Learning,https://arxiv.org/abs/1703.05175,3.57E+03,Highly cited,PwC,,,,,,,,,,,,
Mask R-CNN,Vision,Image segmentation,Facebook AI Research,Industry,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",30/03/2017,2017,Mask R-CNN,https://arxiv.org/abs/1703.06870,1.50E+04,Highly cited,PwC,,,COCO,,,,352,195,,,,
,Vision,Image generation,"Montreal Institute for learning Algorithms, Courant Institute of Mathematical Sciences",Academia,"Ishaan Gulrajani, Faruk Ahmed, Martin Arjovsky, Vincent Dumoulin, Aaron Courville",31/03/2017,2017,Improved Training of Wasserstein GANs,https://arxiv.org/abs/1704.00028,6.04E+03,Highly cited,,,,,,,,,,,,,
MobileNet,Vision,,Google Inc.,Industry,"AG Howard, M Zhu, B Chen, D Kalenichenko",17/04/2017,2017,MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications,https://arxiv.org/abs/1704.04861,9.19E+03,Highly cited,,4.20E+06,,,,,1.14E+09,,,,,,
,Vision,Image segmentation,"Google Inc., University King College, Johns Hopkins University",Industry - Academia Collaboration,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",27/04/2017,2017,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs",https://ieeexplore.ieee.org/abstract/document/7913730,1.01E+04,Highly cited,PwC,,,,,,,,,,,,
,Vision,Action recognition,"DeepMind, University of Oxford",Industry - Academia Collaboration,"Joao Carreira, Andrew Zisserman",01/06/2017,2017,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset",https://openaccess.thecvf.com/content_cvpr_2017/html/Carreira_Quo_Vadis_Action_CVPR_2017_paper.html,3.98E+03,Highly cited,PwC,,,,,,,,,,,,
PointNet++,,3D segmentation,Stanford University,Academia,"Charles R. Qi, Li Yi, Hao Su, Leonidas J. Guibas",07/06/2017,2017,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space,https://arxiv.org/abs/1706.02413,4.02E+03,Highly cited,,,,,,,,,,,,,
,Vision,Image super-resolution,Seoul National University,Academia,"Bee Lim, Sanghyun Son, Heewon Kim, Seungjun Nah, Kyoung Mu Lee",10/06/2017,2017,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://openaccess.thecvf.com/content_cvpr_2017_workshops/w12/html/Lim_Enhanced_Deep_Residual_CVPR_2017_paper.html,3.07E+03,Highly cited,,,,,,,,,,,,,
Transformer,Language,Translation,Google Brain ; Google Research,Industry,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",12/06/2017,2017,Attention Is All You Need,https://proceedings.neurips.cc/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf,2.52E+04,Highly cited,PwC,2.13E+08,7.4E+18,,,,5.40E+10,672,,,,,
HRA,Games,Ms Pacman,Microsoft Maluuba,Industry - Academia Collaboration (Industry leaning),"H Van Seijen, M Fatemi, J Romoff, R Laroche",13/06/2017,2017,Hybrid Reward Architecture for Reinforcement Learning,https://arxiv.org/abs/1706.04208,1.68E+02,,,,,,,,,,,,,,
DeepLabV3,Vision,Semantic segmentation,Google Inc,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",17/06/2017,2017,Rethinking Atrous Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1706.05587,3.90E+03,Highly cited,PwC,,,,,,,,,,,,
,Vision,Image generation,Johannes Kepler University Linz,Academia,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Günter Klambauer, Sepp Hochreiter",26/06/2017,2017,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,https://arxiv.org/abs/1706.08500v1,4.17E+03,Highly cited,,,,,,,,,,,,,
NoisyNet-Dueling,Games,Atari Games,DeepMind,Industry,"M Fortunato, MG Azar, B Piot, J Menick",30/06/2017,2017,Noisy Networks for Exploration,https://arxiv.org/abs/1706.10295v3,4.80E+02,SOTA improvement,,,,,,,,,,,,,
ShuffleNet v1,Vision,,Megvii Inc,Industry,"X Zhang, X Zhou, M Lin, J Sun",03/07/2017,2017,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://arxiv.org/abs/1707.01083,2.78E+03,Highly cited,,2.43E+06,,,,,1.40E+08,,,,,,
NASNet-A,Vision,Image classification,Google Brain,Industry,"B Zoph, V Vasudevan, J Shlens",21/07/2017,2017,Learning Transferable Architectures for Scalable Image Recognition,https://arxiv.org/abs/1707.07012,3.10E+03,Highly cited,OpenAI,8.90E+07,,,,,,,,,,,
,Vision,Image segmentation,Chinese University of Hong Kong,Industry - Academia Collaboration (Academia leaning),"Hengshuang Zhao, Jianping Shi, Xiaojuan Qi, Xiaogang Wang, Jiaya Jia",21/07/2017,2017,Pyramid Scene Parsing Network,https://ieeexplore.ieee.org/document/8100143,6.07E+03,Highly cited,PwC,,,,,,,,,,,,
JFT,Vision,,"Google Research, CMU",Industry - Academia Collaboration,"ChenSun,AbhinavShrivastava,SaurabhSingh,andAbhinavGupta",04/08/2017,2017,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era.,https://arxiv.org/pdf/1707.02968.pdf,1.14E+03,Highly cited,PwC,,4.8E+20,JFT-300M,3.00E+08,,,,,,,,
RetinaNet-R50,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,,3.40E+07,,,,,9.70E+10,,,,,,
RetinaNet-R50,Vision,Object detection,Facebook AI research,Industry,"TY Lin, P Goyal, R Girshick, K He",07/08/2017,2017,Focal loss for dense object detection,https://arxiv.org/abs/1708.02002,8.42E+03,Highly cited,,5.30E+07,,,,,1.27E+11,,,,,,
OpenAI TI7 DOTA 1v1,Games,DOTA,OpenAI,Industry,OpenAI Dota Team,11/08/2017,2017,OpenAI Blog: Dota 2,https://openai.com/blog/dota-2/,NA,,,,6.0E+20,,,,,,,,,,
,Vision,Image classification,"University of Guelph, Canadian Institute for Advanced Research and Vector Institute",Industry - Academia Collaboration," Terrance DeVries, Graham W. Taylor",15/08/2017,2017,Improved Regularization of Convolutional Neural Networks with Cutout,https://arxiv.org/abs/1708.04552,1.45E+03,Highly cited,OpenAI,,,,,,,,,,,,3.50E+07
NeuMF (Pinterest),Recommendation,Collaborative filtering,"NUS, Columbia, Shandong University, Texas A&M",Academia,"X He, L Liao, H Zhang, L Nie, X Hu",16/08/2017,2017,Neural Collaborative Filtering,https://arxiv.org/abs/1708.05031,2.43E+03,Highly cited,,,,,,,,,,,,,
SENet (ImageNet),Vision,Image classification,Chinese Academy of Sciences ; University of Oxford,Academia,"Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Enhua Wu",05/09/2017,2017,Squeeze-and-Excitation Networks,https://arxiv.org/abs/1709.01507,7.94E+03,Highly cited,,2.81E+07,,ImageNet,,,3.87E+09,,,,,,
AlphaGo Zero,Games,Go,DeepMind,Industry,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",19/10/2017,2017,Mastering the game of Go without human knowledge,https://www.nature.com/articles/nature24270,5.81E+03,Highly cited,PwC,4.64E+07,3.4E+23,,,,,,,,,,
,Vision,Person re-identification,University of Technology Sydney,Academia,"Zhedong Zheng, Liang Zheng, Yi Yang",22/10/2017,2017,Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in vitro,https://ieeexplore.ieee.org/document/8237667/citations#citations,1.40E+03,Highly cited,PwC,,,,,,,,,,,,
CapsNet (MNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,PwC,8.20E+06,,,,,,,,,,,
CapsNet (MultiMNIST),Vision,Character recognition,Google Brain,Industry,"S Sabour, N Frosst, GE Hinton",26/10/2017,2017,Dynamic Routing Between Capsules,https://arxiv.org/abs/1710.09829,2.74E+03,Highly cited,PwC,1.14E+07,,,,,,,,,,,
,Vision,Image generation,Nvidia,Industry,"Tero Karras, Timo Aila, Samuli Laine, Jaakko Lehtinen",27/10/2017,2017,"Progressive Growing of GANs for Improved Quality, Stability, and Variation",https://arxiv.org/abs/1710.10196,3.91E+03,Highly cited,,,,,,,,,,,,,
,Vision,Person re-identification,"Visual Computing Institute, Aachen University",Academia,"Alexander Hermans, Lucas Beyer, Bastian Leibe",21/11/2017,2017,In Defense of the Triplet Loss for Person Re-Identification,https://arxiv.org/abs/1703.07737,1.99E+03,Highly cited,OpenAI,,,,,,,,,,,,
PNAS-net,Vision,Image classification,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",02/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.15E+03,Highly cited,PwC,8.60E+07,,,,,,,,,,,
PNASNet-5,,,"Johns Hopkins University, Stanford, Google AI",Industry - Academia Collaboration (Industry leaning),"C Liu, B Zoph, M Neumann, J Shlens",02/12/2017,2017,Progressive Neural Architecture Search,https://arxiv.org/abs/1712.00559,1.34E+03,Highly cited,PwC,,6.6E+19,Imagenet-1k,1.28E+06,,,,,,,,
AlphaZero,Games,,DeepMind,Industry,"D Silver, T Hubert, J Schrittwieser, I Antonoglou",05/12/2017,2017,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,https://arxiv.org/abs/1712.01815,1.08E+03,Highly cited,,,3.7E+22,,,,,,,,,Score,
Refined Part Pooling,Vision,Person retrieval,"Tsinghua University, University of Technology Sydney, University of Texas at San Antonio",Academia,"Yifan Sun, Liang Zheng, Yi Yang, Qi Tian, Shengjin Wang",09/01/2018,2018,Beyond Part Models: Person Retrieval with Refined Part Pooling (and a Strong Convolutional Baseline),https://arxiv.org/abs/1711.09349,1.24E+03,Highly cited,,,,,,,,,,,,,
ULM-FiT,Language,Text classification,"University of San Francisco, Insight Centre NUI Galway",Industry - Academia Collaboration,"J Howard, S Ruder",18/01/2018,2018,Universal Language Model Fine-tuning for Text Classification,https://arxiv.org/abs/1801.06146,1.94E+03,Highly cited,,,,,,,,,,,,,
ELMo,Language,,AI2,Industry,"ME Peters, M Neumann, M Iyyer, M Gardner",01/02/2018,2018,Deep contextualized word representations,https://allennlp.org/elmo,7.48E+03,Highly cited,,9.40E+07,,,,,2.60E+10,,,,,,
IMPALA,Games,Atari,DeepMind,Industry,"Lasse Espeholt, Hubert Soyer, Remi Munos, Karen Simonyan, Volodymir Mnih, Tom Ward, Yotam Doron, Vlad Firoiu, Tim Harley, Iain Dunning, Shane Legg, Koray Kavukcuoglu",05/02/2018,2018,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,https://arxiv.org/abs/1802.01561,6.75E+02,,,1.60E+06,1.7E+20,,,,,,,,,,
AmoebaNet-A,Vision,Image classification,Google Brain,Industry,"E Real, A Aggarwal, Y Huang, QV Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.43E+03,Highly cited,,8.70E+07,,,,,,,,,,,
AmoebaNet-A,Vision,Image classification,Google Brain,Industry,"Esteban Real, Alok Aggarwal, Yanping Huang, Quoc V Le",05/02/2018,2018,Regularized Evolution for Image Classifier Architecture Search,https://arxiv.org/abs/1802.01548,1.71E+03,Highly cited,,,3.9E+20,Imagenet-1k,1.28E+06,,,,,,,,
DeepLabV3+,Vision,Semantic segmentation,Google Inc.,Industry,"Liang-Chieh Chen, Yukun Zhu, George Papandreou, Florian Schroff, Hartwig Adam",07/02/2018,2018,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,https://arxiv.org/abs/1802.02611v3,5.37E+03,Highly cited,,,,,,,,,,,,,
,Vision,Image generation,"Preferred Networks Inc, Ritsumeikan University, National Institute of Informatics",Industry - Academia Collaboration,"Takeru Miyato, Toshiki Kataoka, Masanori Koyama, Yuichi Yoshida",16/02/2018,2018,Spectral Normalization for Generative Adversarial Networks,https://arxiv.org/abs/1802.05957,2.74E+03,Highly cited,,,,,,,,,,,,,
,Vision,Image super-resolution,"Northeastern University, University of Rochester",Academia," Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu",24/02/2018,2018,Residual Dense Network for Image Super-Resolution,https://openaccess.thecvf.com/content_cvpr_2018/html/Zhang_Residual_Dense_Network_CVPR_2018_paper.html,1.78E+03,Highly cited,,,,,,,,,,,,,
Chinese - English translation,Language,Translation,Microsoft,Industry,"H Hassan, A Aue, C Chen, V Chowdhary",01/03/2018,2018,Achieving Human Parity on Automatic Chinese to English News Translation,https://www.microsoft.com/en-us/research/publication/achieving-human-parity-on-automatic-chinese-to-english-news-translation/,3.64E+02,,,,,,,,,,,,,,
Rotation,Drawing,Image completion,École des Ponts ParisTech,Academia,,21/03/2018,2018,Unsupervised Representation Learning by Predicting Image Rotations,https://arxiv.org/abs/1803.07728,1.16E+03,Highly cited,PwC,8.60E+07,,,,,,,,,,,
YOLOv3,Vision,Object detection,University of Washington,Academia,"Joseph Redmon, Ali Farhadi",08/04/2018,2018,YOLOv3: An Incremental Improvement,https://arxiv.org/abs/1804.02767,7.71E+03,Highly cited,,1.06E+08,5.1E+19,ImageNet,1.28E+06,,7.10E+10,,,,,,
ResNeXt-101 32x48d,Vision,Image classification,Facebook,Industry,"D Mahajan, R Girshick",02/05/2018,2018,Exploring the Limits of Weakly Supervised Pretraining,https://paperswithcode.com/paper/exploring-the-limits-of-weakly-supervised,6.19E+02,,PwC,8.29E+08,,,,,3.12E+10,,,,,,
GPT,Language,,OpenAI,Industry,"A Radford, K Narasimhan, T Salimans, I Sutskever",01/06/2018,2018,Improving Language Understanding by Generative Pre-Training,https://openai.com/blog/language-unsupervised/,2.26E+03,Highly cited,,1.17E+08,1.8E+19,BooksCorpus,1.00E+09,,3.00E+10,,,,,,
MobileNetV2,Vision,,Google Inc.,Industry,"M Sandler, A Howard, M Zhu",18/06/2018,2018,MobileNetV2: Inverted Residuals and Linear Bottlenecks,https://ieeexplore.ieee.org/document/8578572,5.71E+03,Highly cited,,3.40E+06,,,,,6.00E+08,,,,,,
ShuffleNet v2,Vision,,"Tsinghua University, Megvii Inc",Industry - Academia Collaboration,"N Ma, X Zhang, HT Zheng",30/06/2018,2018,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,https://arxiv.org/abs/1807.11164,1.41E+03,Highly cited,,2.28E+06,,,,,3.00E+08,,,,,,
Population-based DRL,Games,Capture the flag,DeepMind,Industry,"Max Jaderberg, Wojciech M. Czarnecki, Iain Dunning, Luke Marris, Guy Lever, Antonio Garcia Castaneda, Charles Beattie, Neil C. Rabinowitz, Ari S. Morcos, Avraham Ruderman, Nicolas Sonnerat, Tim Green, Louise Deason, Joel Z. Leibo, David Silver, Demis Hassabis, Koray Kavukcuoglu, Thore Graepel",03/07/2018,2018,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,https://arxiv.org/abs/1807.01281,4.34E+02,,,1.22E+08,3.5E+19,,,,,,,,,,
,Vision,Image super-resolution,Northeastern University,Academia," Yulun Zhang, Kunpeng Li, Kai Li, Lichen Wang, Bineng Zhong, Yun Fu",08/07/2018,2018,Image Super-Resolution Using Very Deep Residual Channel Attention Networks,https://openaccess.thecvf.com/content_ECCV_2018/html/Yulun_Zhang_Image_Super-Resolution_Using_ECCV_2018_paper.html,1.80E+03,Highly cited,,,,,,,,,,,,,
ESRGAN,Vision,Image super-resolution,"Chinese University of Hong Kong, Chinese Academy of Sciences, Nanyang Technological University",Academia,"Xintao Wang, Ke Yu, Shixiang Wu, Jinjin Gu, Yihao Liu, Chao Dong, Chen Change Loy, Yu Qiao, Xiaoou Tang",01/09/2018,2018,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,https://openaccess.thecvf.com/content_eccv_2018_workshops/w25/html/Wang_ESRGAN_Enhanced_Super-Resolution_Generative_Adversarial_Networks_ECCVW_2018_paper.html,1.50E+03,Highly cited,,,,,,,,,,,,,
BigGAN-deep 512x512,Drawing,Image generation,"Heriot-Watt University, DeepMind",Industry - Academia Collaboration,"A Brock, J Donahue, K Simonyan",28/09/2018,2018,Large Scale GAN Training for High Fidelity Natural Image Synthesis,https://arxiv.org/abs/1809.11096,1.98E+03,Highly cited,PwC,1.13E+08,3.0E+21,,,,,,,,,,
BERT-Large,Language,Next sentence prediction,Google AI,Industry,"J Devlin, MW Chang, K Lee, K Toutanova",11/10/2018,2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,https://arxiv.org/abs/1810.04805,2.38E+04,Highly cited,PwC,3.40E+08,2.9E+20,,,,7.90E+10,,,,,,
MetaMimic,Games,,Google,Industry,,11/10/2018,2018,One-Shot High-Fidelity Imitation: Training Large-Scale Deep Nets with RL,https://arxiv.org/abs/1810.05017,1.30E+01,,,2.20E+07,,,,,,,,,,,
GPipe (Amoeba),Vision,Image classification,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,PwC,5.57E+08,,,,,,,,,,,
GPipe (Transformer),Language,Translation,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,,6.00E+09,,,,,,,,,,,
,Vision,Semantic segmentation,Chinese Academy of Sciences,Industry - Academia Collaboration (Academia leaning),"Jun Fu, Jing Liu, Haijie Tian, Yong Li, Yongjun Bao, Zhiwei Fang, Hanqing Lu",2019,2019,Dual Attention Network for Scene Segmentation,https://openaccess.thecvf.com/content_CVPR_2019/html/Fu_Dual_Attention_Network_for_Scene_Segmentation_CVPR_2019_paper.html,1.99E+03,,,,,,,,,,,,,,
Transformer ELMo,Language,"Univeristy of Washington, Allen Instititute for Artificial Intelligence",AI2,Industry - Academia Collaboration (Industry leaning),"ME Peters, M Neumann, L Zettlemoyer",01/01/2019,2019,Dissecting Contextual Word Embeddings: Architecture and Representation,https://www.semanticscholar.org/paper/Dissecting-Contextual-Word-Embeddings%3A-Architecture-Peters-Neumann/ac11062f1f368d97f4c826c317bf50dcc13fdb59,1.96E+02,,,4.65E+08,,,,,,,,,,,
Decoupled weight decay regularization,,,University of Freiburg,Academia,Ilya Loshchilov and Frank Hutter,04/01/2019,2019,Decoupled weight decay regularization.,https://arxiv.org/pdf/1711.05101.pdf,2.06E+03,,Automated Concatenation of Embeddings for Structured Prediction,3.65E+07,2.5E+18,CIFAR-10,5.00E+04,,1.73E+09,,,,,,
MT-DNN,Language,,Microsoft,Industry,"X Liu, P He, W Chen, J Gao",31/01/2019,2019,Multi-Task Deep Neural Networks for Natural Language Understanding,https://arxiv.org/abs/1901.11504,5.53E+02,,,3.30E+08,,,,,,,,,,Encoder-decoder,
Hanabi 4 player,Games,Hanabi,"DeepMind, University of Oxford, Google Brain, Carnegie Mellon University, ",Industry - Academia Collaboration (Industry leaning),,01/02/2019,2019,The Hanabi Challenge: A New Frontier for AI Research,https://arxiv.org/abs/1902.00506,1.15E+02,,,7.64E+05,9.2E+16,,,,,,,,,,
GPT-2,Language,,OpenAI,Industry,"A Radford, J Wu, R Child, D Luan, D Amodei",14/02/2019,2019,Language Models are Unsupervised Multitask Learners,https://openai.com/blog/better-language-models/,1.70E+03,Highly cited,,1.50E+09,1.5E+21,,3.00E+09,,3.40E+12,,,40,,,50000
ProxylessNAS,Vision,,MIT,Academia,"Han Cai, Ligeng Zhu, and Song Han",23/02/2019,2019,ProxylessNAS: Direct neural architecture search on target task and hardware,https://arxiv.org/pdf/1812.00332.pdf,9.96E+02,,,,3.7E+19,ImageNet,1.28E+06,,2.63E+11,200,5.1,,,,
Cross-lingual alignment,,,"Tel Aviv University, MIT",Academia,"Tal Schuster, Ori Ram, Regina Barzilay, and Amir Globerson.",04/04/2019,2019,"Cross-lingual alignment of contextual word embeddings, with applications to zero- shot dependency parsing.",https://arxiv.org/pdf/1902.09492.pdf,1.29E+02,,Automated Concatenation of Embeddings for Structured Prediction,,2.6E+18,,,,3.66E+12,,,,,,
,Language,Speech recognition,Google Brain,Industry," Daniel S. Park, William Chan, Yu Zhang, Chung-Cheng Chiu, Barret Zoph, Ekin D. Cubuk, Quoc V. Le",18/04/2019,2019,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/abs/1904.08779,1.41E+03,Highly cited,,,,,,,,,,,,Encoder-decoder,
ResNet-50 Billion-scale,Vision,Image classification,OpenAI,Industry,"A Radford, J Wu, R Child, D Luan, D Amodei",02/05/2019,2019,Language Models are Unsupervised Multitask Learners,https://arxiv.org/abs/1905.00546,1.70E+03,Highly cited,,2.60E+07,,,,,,,,,,,
ResNeXt-101 Billion-scale,Vision,Image classification,Facebook AI,Industry,"IZ Yalniz, H Jégou, K Chen, M Paluri",02/05/2019,2019,Billion-scale semi-supervised learning for image classification,https://arxiv.org/abs/1905.00546,1.56E+02,,,1.93E+08,,,,,,,,,,,
CPC v2,Drawing,Image completion,"Deepmind, Berkeley",Industry - Academia Collaboration (Industry leaning),,22/05/2019,2019,Data-Efficient Image Recognition with Contrastive Predictive Coding,https://arxiv.org/abs/1905.09272,4.91E+02,,,3.03E+08,,,,,,,,,,,
